80 456
6.600000000000000e+00 -5.000000000000000e+00 0.000000000000000e+00
6.543434343434342e+00 -5.000000000000000e+00 0.000000000000000e+00
6.486868686868686e+00 -5.000000000000000e+00 0.000000000000000e+00
6.430303030303029e+00 -5.000000000000000e+00 0.000000000000000e+00
6.373737373737372e+00 -5.000000000000000e+00 0.000000000000000e+00
6.317171717171716e+00 -5.000000000000000e+00 0.000000000000000e+00
6.260606060606058e+00 -5.000000000000000e+00 0.000000000000000e+00
6.204040404040402e+00 -5.000000000000000e+00 0.000000000000000e+00
6.147474747474747e+00 -5.000000000000000e+00 0.000000000000000e+00
6.090909090909089e+00 -5.000000000000000e+00 0.000000000000000e+00
6.034343434343433e+00 -5.000000000000000e+00 0.000000000000000e+00
5.977777777777776e+00 -5.000000000000000e+00 0.000000000000000e+00
5.921212121212119e+00 -5.000000000000000e+00 0.000000000000000e+00
5.864646464646462e+00 -5.000000000000000e+00 0.000000000000000e+00
5.808080808080807e+00 -5.000000000000000e+00 0.000000000000000e+00
5.751515151515150e+00 -5.000000000000000e+00 0.000000000000000e+00
5.694949494949493e+00 -5.000000000000000e+00 0.000000000000000e+00
5.638383838383837e+00 -5.000000000000000e+00 0.000000000000000e+00
5.581818181818180e+00 -5.000000000000000e+00 0.000000000000000e+00
5.525252525252523e+00 -5.000000000000000e+00 0.000000000000000e+00
5.468686868686867e+00 -5.000000000000000e+00 0.000000000000000e+00
5.412121212121210e+00 -5.000000000000000e+00 0.000000000000000e+00
5.355555555555554e+00 -5.000000000000000e+00 0.000000000000000e+00
5.298989898989897e+00 -5.000000000000000e+00 0.000000000000000e+00
5.242424242424240e+00 -5.000000000000000e+00 0.000000000000000e+00
5.185858585858584e+00 -5.000000000000000e+00 0.000000000000000e+00
5.129292929292927e+00 -5.000000000000000e+00 0.000000000000000e+00
5.072727272727271e+00 -5.000000000000000e+00 0.000000000000000e+00
5.016161616161614e+00 -5.000000000000000e+00 0.000000000000000e+00
4.959595959595958e+00 -5.000000000000000e+00 0.000000000000000e+00
4.903030303030302e+00 -5.000000000000000e+00 0.000000000000000e+00
4.846464646464645e+00 -5.000000000000000e+00 0.000000000000000e+00
4.789898989898988e+00 -5.000000000000000e+00 0.000000000000000e+00
4.733333333333332e+00 -5.000000000000000e+00 0.000000000000000e+00
4.676767676767675e+00 -5.000000000000000e+00 0.000000000000000e+00
4.620202020202019e+00 -5.000000000000000e+00 0.000000000000000e+00
4.563636363636362e+00 -5.000000000000000e+00 0.000000000000000e+00
4.507070707070705e+00 -5.000000000000000e+00 0.000000000000000e+00
4.450505050505049e+00 -5.000000000000000e+00 0.000000000000000e+00
4.393939393939392e+00 -5.000000000000000e+00 0.000000000000000e+00
4.337373737373736e+00 -5.000000000000000e+00 0.000000000000000e+00
4.280808080808079e+00 -5.000000000000000e+00 0.000000000000000e+00
4.224242424242423e+00 -5.000000000000000e+00 0.000000000000000e+00
4.167676767676765e+00 -5.000000000000000e+00 0.000000000000000e+00
4.111111111111109e+00 -5.000000000000000e+00 0.000000000000000e+00
4.054545454545452e+00 -5.000000000000000e+00 0.000000000000000e+00
3.997979797979796e+00 -5.000000000000000e+00 0.000000000000000e+00
3.941414141414139e+00 -5.000000000000000e+00 0.000000000000000e+00
3.884848484848483e+00 -5.000000000000000e+00 0.000000000000000e+00
3.828282828282829e+00 -5.000000000000000e+00 0.000000000000000e+00
3.771717171717170e+00 -5.000000000000000e+00 0.000000000000000e+00
3.715151515151513e+00 -5.000000000000000e+00 0.000000000000000e+00
3.658585858585857e+00 -5.000000000000000e+00 0.000000000000000e+00
3.602020202020200e+00 -5.000000000000000e+00 0.000000000000000e+00
3.545454545454546e+00 -5.000000000000000e+00 0.000000000000000e+00
3.488888888888889e+00 -5.000000000000000e+00 0.000000000000000e+00
3.432323232323230e+00 -5.000000000000000e+00 0.000000000000000e+00
3.375757575757573e+00 -5.000000000000000e+00 0.000000000000000e+00
3.319191919191917e+00 -5.000000000000000e+00 0.000000000000000e+00
3.262626262626260e+00 -5.000000000000000e+00 0.000000000000000e+00
3.206060606060606e+00 -5.000000000000000e+00 0.000000000000000e+00
3.149494949494950e+00 -5.000000000000000e+00 0.000000000000000e+00
3.092929292929291e+00 -5.000000000000000e+00 0.000000000000000e+00
3.036363636363637e+00 -5.000000000000000e+00 0.000000000000000e+00
2.979797979797980e+00 -5.000000000000000e+00 0.000000000000000e+00
2.923232323232321e+00 -5.000000000000000e+00 0.000000000000000e+00
2.866666666666664e+00 -5.000000000000000e+00 0.000000000000000e+00
2.810101010101010e+00 -5.000000000000000e+00 0.000000000000000e+00
2.753535353535354e+00 -5.000000000000000e+00 0.000000000000000e+00
2.696969696969697e+00 -5.000000000000000e+00 0.000000000000000e+00
2.640404040404040e+00 -5.000000000000000e+00 0.000000000000000e+00
2.583838383838384e+00 -5.000000000000000e+00 0.000000000000000e+00
2.527272727272728e+00 -5.000000000000000e+00 0.000000000000000e+00
2.470707070707071e+00 -5.000000000000000e+00 0.000000000000000e+00
2.414141414141414e+00 -5.000000000000000e+00 0.000000000000000e+00
2.357575757575758e+00 -5.000000000000000e+00 0.000000000000000e+00
2.301010101010101e+00 -5.000000000000000e+00 0.000000000000000e+00
2.244444444444444e+00 -5.000000000000000e+00 0.000000000000000e+00
2.187878787878788e+00 -5.000000000000000e+00 0.000000000000000e+00
2.131313131313131e+00 -5.000000000000000e+00 0.000000000000000e+00
2.074747474747475e+00 -5.000000000000000e+00 0.000000000000000e+00
2.018181818181819e+00 -5.000000000000000e+00 0.000000000000000e+00
1.961616161616162e+00 -5.000000000000001e+00 0.000000000000000e+00
1.905050505050505e+00 -5.000000000000000e+00 0.000000000000000e+00
1.848484848484849e+00 -5.000000000000000e+00 0.000000000000000e+00
1.791919191919192e+00 -5.000000000000000e+00 0.000000000000000e+00
1.735353535353536e+00 -5.000000000000000e+00 0.000000000000000e+00
1.678787878787879e+00 -5.000000000000000e+00 0.000000000000000e+00
1.622222222222222e+00 -5.000000000000000e+00 0.000000000000000e+00
1.565656565656566e+00 -5.000000000000000e+00 0.000000000000000e+00
1.509090909090909e+00 -5.000000000000000e+00 0.000000000000000e+00
1.452525252525253e+00 -4.999999999999999e+00 0.000000000000000e+00
1.395959595959596e+00 -5.000000000000000e+00 0.000000000000000e+00
1.339393939393939e+00 -4.999999999999999e+00 0.000000000000000e+00
1.282828282828283e+00 -5.000000000000000e+00 0.000000000000000e+00
1.226262626262626e+00 -5.000000000000000e+00 0.000000000000000e+00
1.169696969696970e+00 -5.000000000000000e+00 0.000000000000000e+00
1.113131313131313e+00 -5.000000000000000e+00 0.000000000000000e+00
1.056565656565657e+00 -5.000000000000000e+00 0.000000000000000e+00
1.000000000000000e+00 -5.000000000000000e+00 0.000000000000000e+00
9.393939393939397e-01 -5.000000000000000e+00 0.000000000000000e+00
8.787878787878787e-01 -5.000000000000000e+00 0.000000000000000e+00
8.181818181818183e-01 -5.000000000000000e+00 0.000000000000000e+00
7.575757575757573e-01 -5.000000000000000e+00 0.000000000000000e+00
6.969696969696970e-01 -5.000000000000000e+00 0.000000000000000e+00
6.363636363636360e-01 -5.000000000000000e+00 0.000000000000000e+00
5.757575757575764e-01 -5.000000000000000e+00 0.000000000000000e+00
5.151515151515154e-01 -5.000000000000000e+00 0.000000000000000e+00
4.545454545454550e-01 -5.000000000000000e+00 0.000000000000000e+00
3.939393939393947e-01 -5.000000000000000e+00 0.000000000000000e+00
3.333333333333330e-01 -5.000000000000000e+00 0.000000000000000e+00
2.727272727272727e-01 -5.000000000000000e+00 0.000000000000000e+00
2.121212121212110e-01 -5.000000000000000e+00 0.000000000000000e+00
1.515151515151514e-01 -5.000000000000000e+00 0.000000000000000e+00
9.090909090909038e-02 -5.000000000000000e+00 0.000000000000000e+00
3.030303030303005e-02 -5.000000000000000e+00 0.000000000000000e+00
-3.030303030303028e-02 -5.000000000000000e+00 0.000000000000000e+00
-9.090909090909061e-02 -5.000000000000000e+00 0.000000000000000e+00
-1.515151515151516e-01 -5.000000000000000e+00 0.000000000000000e+00
-2.121212121212125e-01 -5.000000000000000e+00 0.000000000000000e+00
-2.727272727272722e-01 -5.000000000000000e+00 0.000000000000000e+00
-3.333333333333339e-01 -5.000000000000000e+00 0.000000000000000e+00
-3.939393939393936e-01 -5.000000000000000e+00 0.000000000000000e+00
-4.545454545454538e-01 -5.000000000000000e+00 0.000000000000000e+00
-5.151515151515150e-01 -5.000000000000000e+00 0.000000000000000e+00
-5.757575757575752e-01 -5.000000000000000e+00 0.000000000000000e+00
-6.363636363636376e-01 -5.000000000000000e+00 0.000000000000000e+00
-6.969696969696972e-01 -5.000000000000000e+00 0.000000000000000e+00
-7.575757575757582e-01 -5.000000000000000e+00 0.000000000000000e+00
-8.181818181818187e-01 -5.000000000000000e+00 0.000000000000000e+00
-8.787878787878789e-01 -5.000000000000000e+00 0.000000000000000e+00
-9.393939393939391e-01 -5.000000000000000e+00 0.000000000000000e+00
-1.000000000000000e+00 -5.000000000000000e+00 0.000000000000000e+00
-1.060606060606061e+00 -5.000000000000000e+00 0.000000000000000e+00
-1.121212121212121e+00 -5.000000000000000e+00 0.000000000000000e+00
-1.181818181818183e+00 -5.000000000000000e+00 0.000000000000000e+00
-1.242424242424242e+00 -5.000000000000000e+00 0.000000000000000e+00
-1.303030303030302e+00 -5.000000000000000e+00 0.000000000000000e+00
-1.363636363636364e+00 -5.000000000000000e+00 0.000000000000000e+00
-1.424242424242424e+00 -5.000000000000000e+00 0.000000000000000e+00
-1.484848484848485e+00 -5.000000000000000e+00 0.000000000000000e+00
-1.545454545454545e+00 -5.000000000000000e+00 0.000000000000000e+00
-1.606060606060607e+00 -5.000000000000000e+00 0.000000000000000e+00
-1.666666666666667e+00 -5.000000000000000e+00 0.000000000000000e+00
-1.727272727272728e+00 -5.000000000000000e+00 0.000000000000000e+00
-1.787878787878788e+00 -5.000000000000000e+00 0.000000000000000e+00
-1.848484848484849e+00 -5.000000000000000e+00 0.000000000000000e+00
-1.909090909090909e+00 -5.000000000000000e+00 0.000000000000000e+00
-1.969696969696969e+00 -5.000000000000000e+00 0.000000000000000e+00
-2.030303030303030e+00 -5.000000000000000e+00 0.000000000000000e+00
-2.090909090909091e+00 -5.000000000000000e+00 0.000000000000000e+00
-2.151515151515151e+00 -5.000000000000000e+00 0.000000000000000e+00
-2.212121212121212e+00 -5.000000000000000e+00 0.000000000000000e+00
-2.272727272727272e+00 -5.000000000000000e+00 0.000000000000000e+00
-2.333333333333333e+00 -5.000000000000000e+00 0.000000000000000e+00
-2.393939393939394e+00 -5.000000000000000e+00 0.000000000000000e+00
-2.454545454545455e+00 -5.000000000000000e+00 0.000000000000000e+00
-2.515151515151515e+00 -5.000000000000000e+00 0.000000000000000e+00
-2.575757575757576e+00 -5.000000000000000e+00 0.000000000000000e+00
-2.636363636363636e+00 -5.000000000000000e+00 0.000000000000000e+00
-2.696969696969696e+00 -5.000000000000000e+00 0.000000000000000e+00
-2.757575757575758e+00 -5.000000000000000e+00 0.000000000000000e+00
-2.818181818181819e+00 -5.000000000000000e+00 0.000000000000000e+00
-2.878787878787879e+00 -5.000000000000000e+00 0.000000000000000e+00
-2.939393939393939e+00 -5.000000000000000e+00 0.000000000000000e+00
-3.000000000000000e+00 -5.000000000000000e+00 0.000000000000000e+00
-3.060606060606060e+00 -5.000000000000000e+00 0.000000000000000e+00
-3.121212121212121e+00 -5.000000000000000e+00 0.000000000000000e+00
-3.181818181818182e+00 -5.000000000000000e+00 0.000000000000000e+00
-3.242424242424243e+00 -5.000000000000000e+00 0.000000000000000e+00
-3.303030303030303e+00 -5.000000000000000e+00 0.000000000000000e+00
-3.363636363636364e+00 -5.000000000000000e+00 0.000000000000000e+00
-3.424242424242425e+00 -5.000000000000000e+00 0.000000000000000e+00
-3.484848484848484e+00 -5.000000000000000e+00 0.000000000000000e+00
-3.545454545454546e+00 -5.000000000000000e+00 0.000000000000000e+00
-3.606060606060606e+00 -5.000000000000000e+00 0.000000000000000e+00
-3.666666666666667e+00 -5.000000000000000e+00 0.000000000000000e+00
-3.727272727272728e+00 -5.000000000000000e+00 0.000000000000000e+00
-3.787878787878788e+00 -5.000000000000000e+00 0.000000000000000e+00
-3.848484848484849e+00 -5.000000000000000e+00 0.000000000000000e+00
-3.909090909090909e+00 -5.000000000000000e+00 0.000000000000000e+00
-3.969696969696970e+00 -5.000000000000000e+00 0.000000000000000e+00
-4.030303030303030e+00 -5.000000000000000e+00 0.000000000000000e+00
-4.090909090909091e+00 -5.000000000000000e+00 0.000000000000000e+00
-4.151515151515151e+00 -4.999999999999999e+00 0.000000000000000e+00
-4.212121212121212e+00 -5.000000000000000e+00 0.000000000000000e+00
